ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MONTHS_BALANCE_MIN,MONTHS_BALANCE_MAX,COUNT_LATE_LAST_12M,TARGET,AGE,YEARS_EMPLOYED,INCOME_GROUP,AGE_GROUP,EDUCATION_RANK,AMT_INCOME_TOTAL_CAPPED,CREDIT_HISTORY_LENGTH
5008804,M,1,1,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,Unknown,2.0,-15,0,0,0,32.9,12.4,Very High,30-39,3,380250.0,-15
5008805,M,1,1,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,Unknown,2.0,-14,0,1,0,32.9,12.4,Very High,30-39,3,380250.0,-14
5008806,M,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2.0,-29,0,3,0,58.8,3.1,Very High,50-59,1,112500.0,-29
5008808,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,-4,0,2,0,52.4,8.4,Very High,50-59,1,270000.0,-4
5008809,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,-26,-22,0,0,52.4,8.4,Very High,50-59,1,270000.0,-4
5008810,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,-26,0,0,0,52.4,8.4,Very High,50-59,1,270000.0,-26
5008811,F,0,1,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,-38,0,0,0,52.4,8.4,Very High,50-59,1,270000.0,-38
5008812,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,Unknown,1.0,-20,-4,7,0,61.5,0.0,Very High,60+,3,283500.0,-16
5008813,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,Unknown,1.0,-16,0,11,0,61.5,0.0,Very High,60+,3,283500.0,-16
5008814,F,0,1,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,Unknown,1.0,-17,-1,10,0,61.5,0.0,Very High,60+,3,283500.0,-16
5008815,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2.0,-5,0,6,0,46.2,2.1,Very High,40-49,3,270000.0,-5
5112956,M,1,1,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2.0,-42,0,9,0,46.2,2.1,Very High,40-49,3,270000.0,-42
5008819,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,-17,-10,0,0,48.7,3.3,Very High,40-49,1,135000.0,-7
5008820,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,-16,-8,1,0,48.7,3.3,Very High,40-49,1,135000.0,-8
5008821,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,-8,0,6,0,48.7,3.3,Very High,40-49,1,135000.0,-8
5008822,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,-22,-14,0,0,48.7,3.3,Very High,40-49,1,135000.0,-8
5008823,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,-7,-3,4,0,48.7,3.3,Very High,40-49,1,135000.0,-4
5008824,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,-3,0,4,0,48.7,3.3,Very High,40-49,1,135000.0,-3
5008825,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2.0,-25,0,13,0,29.2,3.0,Very High,18-29,2,130500.0,-25
5008826,F,1,0,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2.0,-30,-1,0,0,29.2,3.0,Very High,18-29,2,130500.0,-29
