ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,CREDIT_HISTORY_LENGTH,BAD_DEBT_RATIO,AVERAGE_DELAYED_MONTHS,IS_BAD
5067180,F,N,N,0,122400.0,Working,Secondary / secondary special,Married,House / apartment,-20952,-1155,1,1,0,1,Medicine staff,2.0,14,0.0,0.0,0
5095211,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-19730,-4934,1,0,0,0,Sales staff,1.0,23,0.0,0.0,0
5065372,F,N,Y,1,99000.0,Working,Higher education,Married,House / apartment,-16721,-8875,1,1,1,0,Core staff,3.0,37,0.0,0.0,0
5142392,F,N,Y,0,90000.0,State servant,Secondary / secondary special,Married,House / apartment,-19461,-5124,1,0,0,0,Core staff,2.0,27,0.0,0.0,0
5045778,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,-9441,-1235,1,0,0,0,Managers,3.0,14,0.0,0.0,0
5142314,M,N,Y,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16778,-332,1,0,0,0,Core staff,4.0,47,0.0,0.0,0
5135768,F,N,Y,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13837,-1386,1,0,1,0,Laborers,3.0,12,0.0,0.0,0
5036093,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-21694,-3202,1,1,0,0,Security staff,2.0,17,0.0,0.0,0
5090627,F,N,Y,0,234000.0,Working,Higher education,Married,House / apartment,-12807,-5696,1,0,0,0,Managers,2.0,12,0.0,0.0,0
5089574,F,N,N,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-11309,-2713,1,1,0,0,Sales staff,2.0,24,0.125,1.0,1
5125160,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,-11970,-1748,1,0,0,0,Laborers,3.0,10,0.0,0.0,0
5115958,F,N,N,0,225000.0,State servant,Higher education,Married,House / apartment,-17706,-2293,1,0,0,0,Core staff,2.0,17,0.0,0.0,0
5150342,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11388,-1315,1,0,0,0,Core staff,2.0,30,0.0,0.0,0
5053430,M,Y,N,1,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-14750,-89,1,0,0,0,Drivers,3.0,19,0.0,0.0,0
5047905,F,N,Y,2,202500.0,Working,Secondary / secondary special,Married,Municipal apartment,-11468,-4448,1,0,0,0,Laborers,4.0,44,0.0,0.0,0
5137477,F,N,N,1,157500.0,Working,Higher education,Married,House / apartment,-13549,-2877,1,0,1,0,Accountants,3.0,40,0.0,0.0,0
5052737,F,N,Y,2,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10454,-505,1,0,0,1,High skill tech staff,4.0,10,0.0,0.0,0
5023711,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-17733,-5622,1,0,1,0,Laborers,2.0,4,0.0,0.0,0
5118051,F,Y,Y,1,180000.0,Working,Higher education,Married,House / apartment,-15001,-249,1,0,0,0,Managers,3.0,3,0.0,0.0,0
5150482,F,Y,Y,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10808,-1739,1,0,0,0,Core staff,3.0,18,0.0,0.0,0
5036765,F,N,N,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12834,-1224,1,0,0,1,Laborers,3.0,6,0.0,0.0,0
5010637,F,Y,Y,0,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-12461,-678,1,0,0,0,Sales staff,2.0,37,0.0,0.0,0
5044628,F,Y,N,1,135000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10130,-1651,1,0,0,0,Accountants,2.0,2,0.0,0.0,0
5042024,F,N,N,0,202500.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-21381,-156,1,0,0,0,Managers,1.0,51,0.0,0.0,0
5116323,F,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-14212,-1889,1,0,0,0,Laborers,4.0,6,0.0,0.0,0
5117653,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-11101,-96,1,1,0,0,Security staff,3.0,2,0.0,0.0,0
5046233,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10475,-2757,1,1,1,1,Drivers,1.0,22,0.0,0.0,0
5143419,F,N,Y,2,135000.0,Working,Incomplete higher,Married,House / apartment,-10598,-2175,1,0,0,1,Sales staff,4.0,17,0.0,0.0,0
5045539,M,Y,N,2,225000.0,State servant,Higher education,Married,With parents,-10937,-1539,1,0,0,0,High skill tech staff,4.0,12,0.0,0.0,0
5149210,F,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-15244,-2998,1,0,0,0,Cooking staff,2.0,33,0.0,0.0,0
5028510,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-10638,-477,1,0,1,0,Laborers,2.0,15,0.0,0.0,0
5062654,M,Y,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-13509,-1028,1,0,0,0,Laborers,3.0,41,0.0,0.0,0
5114482,F,N,Y,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,-10100,-863,1,0,0,0,Core staff,2.0,14,0.0,0.0,0
5048604,F,N,Y,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-15256,-3291,1,0,0,0,Laborers,1.0,19,0.0,0.0,0
5042094,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-19495,-1678,1,0,1,0,Accountants,2.0,15,0.0,0.0,0
5095402,F,Y,Y,0,450000.0,State servant,Higher education,Married,House / apartment,-19804,-1161,1,0,0,0,Core staff,2.0,29,0.0,0.0,0
5090958,F,N,N,0,72000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18799,-1466,1,1,0,0,Cleaning staff,1.0,9,0.1111111111111111,1.0,1
5091855,M,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10686,-3457,1,0,0,0,Laborers,3.0,7,0.0,0.0,0
5047677,F,N,N,1,180000.0,State servant,Higher education,Married,House / apartment,-14069,-2500,1,1,1,1,Core staff,3.0,28,0.0,0.0,0
5021639,F,N,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-21456,-425,1,0,0,0,Medicine staff,2.0,24,0.041666666666666664,1.0,1
5089573,F,N,N,0,202500.0,Commercial associate,Higher education,Married,House / apartment,-11309,-2713,1,1,0,0,Sales staff,2.0,41,0.07317073170731707,1.0,1
5052694,M,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10271,-1629,1,0,0,0,Laborers,2.0,13,0.0,0.0,0
5051087,M,Y,N,2,315000.0,Working,Secondary / secondary special,Married,House / apartment,-12037,-197,1,0,0,0,Laborers,4.0,60,0.4666666666666667,1.0357142857142858,1
5114523,F,Y,Y,0,157500.0,Working,Higher education,Married,Co-op apartment,-22185,-347,1,1,0,0,Accountants,2.0,27,0.0,0.0,0
5021879,M,Y,N,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13095,-217,1,0,1,0,Laborers,4.0,29,0.13793103448275862,1.0,1
5065436,F,Y,N,2,270000.0,Working,Secondary / secondary special,Married,With parents,-13258,-2300,1,0,0,0,Managers,4.0,31,0.0,0.0,0
5135567,F,N,Y,1,140850.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10855,-321,1,0,0,0,Sales staff,3.0,13,0.15384615384615385,1.0,1
5095430,F,N,Y,0,292500.0,Working,Higher education,Married,House / apartment,-18764,-9258,1,0,0,0,High skill tech staff,2.0,10,0.0,0.0,0
5009142,F,N,N,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9657,-1560,1,1,1,0,Managers,2.0,12,0.0,0.0,0
5036627,M,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-14999,-321,1,1,1,0,Drivers,3.0,59,0.0,0.0,0
5113827,F,N,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-20163,-223,1,1,1,0,Core staff,2.0,9,0.0,0.0,0
5074698,F,N,Y,0,157500.0,Working,Higher education,Single / not married,House / apartment,-22235,-10600,1,0,0,0,Laborers,1.0,4,0.0,0.0,0
5036489,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-18520,-7268,1,1,1,0,Core staff,2.0,9,0.0,0.0,0
5095849,F,N,N,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,-13924,-2593,1,1,0,0,Medicine staff,2.0,60,0.0,0.0,0
5150460,F,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14234,-309,1,0,0,0,Core staff,3.0,39,0.0,0.0,0
5088968,F,Y,N,0,31500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17762,-7734,1,1,1,0,Cleaning staff,2.0,35,0.0,0.0,0
5058378,F,N,N,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18026,-9152,1,0,1,0,Laborers,2.0,13,0.0,0.0,0
5009865,M,Y,N,0,225000.0,Working,Higher education,Civil marriage,Rented apartment,-14555,-1226,1,1,0,0,Managers,2.0,43,0.0,0.0,0
5113307,M,N,Y,1,180000.0,Working,Higher education,Married,With parents,-15670,-1654,1,0,0,0,Cooking staff,3.0,8,0.0,0.0,0
5145962,F,N,N,2,130500.0,Working,Secondary / secondary special,Married,House / apartment,-15436,-3476,1,0,0,0,Sales staff,4.0,23,0.0,0.0,0
5048073,F,N,Y,0,225000.0,Working,Higher education,Widow,House / apartment,-21450,-13245,1,0,0,0,Core staff,1.0,61,0.03278688524590164,1.0,1
5105160,M,N,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238,-2187,1,1,1,0,Managers,4.0,40,0.0,0.0,0
5118456,F,N,N,1,76500.0,Working,Secondary / secondary special,Married,House / apartment,-10080,-735,1,1,0,0,Sales staff,3.0,9,0.0,0.0,0
5050732,F,N,N,0,135000.0,Commercial associate,Higher education,Separated,House / apartment,-11712,-4822,1,0,1,1,HR staff,1.0,41,0.21951219512195122,1.0,1
